timestamp,model_name,output_name,quant_format,base_config_path,generated_config_path,status,acc1,acc5,certainty,ref_acc1,ref_acc5,ref_certainty,acc_drop,weight_comp_red,weight_comp_share,input_comp_red,input_comp_share,exec_error,report_path
2026-03-24 12:47:35,squeezenet1_1,ref_fp32,fp8,,,NO_QUANT,58.192,80.624,0.5902219330024719,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp2_e1m0,fp2_e1m0,,,SUCCESS,0.114,0.514,0.6841255068588257,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp3_e1m1,fp3_e1m1,,,SUCCESS,0.314,1.258,0.39103183899879457,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp4_e1m2,fp4_e1m2,,,SUCCESS,22.006,41.714,0.37726571194648745,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp5_e1m3,fp5_e1m3,,,SUCCESS,50.026,74.302,0.5280205951786041,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp6_e1m4,fp6_e1m4,,,SUCCESS,55.928,79.002,0.5476891932964325,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp7_e1m5,fp7_e1m5,,,SUCCESS,57.582,80.208,0.5869424865722657,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp8_e1m6,fp8_e1m6,,,SUCCESS,58.09,80.496,0.5925360595703125,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp3_e2m0,fp3_e2m0,,,SUCCESS,0.926,3.296,0.005944799636900425,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp4_e3m0,fp4_e3m0,,,SUCCESS,2.686,8.648,0.004166376692801714,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp5_e4m0,fp5_e4m0,,,SUCCESS,2.67,8.604,0.004160287924408913,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp6_e5m0,fp6_e5m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp7_e6m0,fp7_e6m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
2026-03-24 12:47:35,squeezenet1_1,baseline_fp8_e7m0,fp8_e7m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,ref_fp32,fp8,,,NO_QUANT,58.192,80.624,0.5902219330024719,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp2_e1m0,fp2_e1m0,,,SUCCESS,0.114,0.514,0.6841255068588257,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp3_e1m1,fp3_e1m1,,,SUCCESS,0.314,1.258,0.39103183899879457,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp4_e1m2,fp4_e1m2,,,SUCCESS,22.006,41.714,0.37726571194648745,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp5_e1m3,fp5_e1m3,,,SUCCESS,50.026,74.302,0.5280205951786041,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp6_e1m4,fp6_e1m4,,,SUCCESS,55.928,79.002,0.5476891932964325,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp7_e1m5,fp7_e1m5,,,SUCCESS,57.582,80.208,0.5869424865722657,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp8_e1m6,fp8_e1m6,,,SUCCESS,58.09,80.496,0.5925360595703125,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp3_e2m0,fp3_e2m0,,,SUCCESS,0.926,3.296,0.005944799636900425,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp4_e3m0,fp4_e3m0,,,SUCCESS,2.686,8.648,0.004166376692801714,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp5_e4m0,fp5_e4m0,,,SUCCESS,2.67,8.604,0.004160287924408913,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp6_e5m0,fp6_e5m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp7_e6m0,fp7_e6m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
2026-03-26 17:05:36,squeezenet1_1,baseline_fp8_e7m0,fp8_e7m0,,,SUCCESS,2.67,8.606,0.004160285434573889,0.0,0.0,,,,,,,,
