,model_name,experiment_type,weight_dt,activation_dt,acc1,acc1_drop,acc5,acc5_drop,mse,l1,certainty,cert_drop,status,run_date,ref_acc1,ref_acc5,ref_certainty,w_bits,w_exp,w_mant,a_bits,a_exp,a_mant
0,mobilevit_xxs,input_quant_dynamic,fp32,dyn_input_l1,68.834,0.09199999999999875,88.848,0.09600000000000364,0.00016605936027526148,0.011522471429104243,0.5921303097915649,0.0023172467517853512,SUCCESS,2026-04-09 10:52:48,68.926,88.944,0.5944475565433502,32,,,0,,
1,mobilevit_xxs,input_quant_dynamic,fp32,dyn_input_mse,68.844,0.08200000000000784,88.886,0.058000000000006935,0.0001617220715064481,0.011524843170999393,0.5920599473285675,0.00238760921478276,SUCCESS,2026-04-09 10:39:09,68.926,88.944,0.5944475565433502,32,,,0,,
2,mobilevit_xxs,input_quant_baseline,fp32,fp8_e7m0,24.568,44.358000000000004,43.28,45.664,0.0815717079605503,0.22349807774152264,0.3146649652004242,0.27978259134292605,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,8,7,0
3,mobilevit_xxs,input_quant_baseline,fp32,fp7_e6m0,24.568,44.358000000000004,43.28,45.664,0.0815717079605503,0.22349807774152264,0.3146649652004242,0.27978259134292605,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,7,6,0
4,mobilevit_xxs,input_quant_baseline,fp32,fp6_e5m0,24.568,44.358000000000004,43.28,45.664,0.0815717079605503,0.22349807774152264,0.3146649652004242,0.27978259134292605,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,6,5,0
5,mobilevit_xxs,input_quant_baseline,fp32,fp5_e4m0,24.568,44.358000000000004,43.28,45.664,0.0815717079605503,0.22349807774152264,0.3146649652004242,0.27978259134292605,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,5,4,0
6,mobilevit_xxs,input_quant_baseline,fp32,fp4_e3m0,24.556,44.370000000000005,43.3,45.644000000000005,0.08157196641492569,0.22353265859801247,0.31463157454013824,0.279815982003212,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,4,3,0
7,mobilevit_xxs,input_quant_baseline,fp32,fp3_e2m0,22.182,46.744,39.788,49.156000000000006,0.08228357253070147,0.22974249545504458,0.2976230080270767,0.29682454851627355,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,3,2,0
8,mobilevit_xxs,input_quant_baseline,fp32,fp8_e1m6,68.878,0.04800000000000182,88.9,0.04399999999999693,0.0000210871731738494,0.004401751766743444,0.594234938030243,0.00021261851310727664,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,8,1,6
9,mobilevit_xxs,input_quant_baseline,fp32,fp7_e1m5,68.764,0.16200000000000614,88.832,0.11200000000000898,0.0000861824337664218,0.008817442364646186,0.5933559041595459,0.0010916523838043757,SUCCESS,2026-04-09 10:25:26,68.926,88.944,0.5944475565433502,32,,,7,1,5
