layer_type,num_weights,num_inputs,num_outputs,num_macs,cycles,input_data_elements,output_data_elements,bw_in_elements_per_cycle,bw_out_elements_per_cycle,bw_total_elements_per_cycle,macs_status,input_shape,output_shape,batch_size,layer_name
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_0.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_1.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_2.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_3.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_4.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_5.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_6.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_7.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_8.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_9.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_10.mlp.3
Linear,2360064,605184,151296,464781312,3631104,2965248.0,151296,,,0.8582910321489001,ok,"(1, 197, 3072)","(1, 197, 768)",1,encoder.layers.encoder_layer_11.mlp.3
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_0.mlp.0 + encoder.layers.encoder_layer_0.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_1.mlp.0 + encoder.layers.encoder_layer_1.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_2.mlp.0 + encoder.layers.encoder_layer_2.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_3.mlp.0 + encoder.layers.encoder_layer_3.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_4.mlp.0 + encoder.layers.encoder_layer_4.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_5.mlp.0 + encoder.layers.encoder_layer_5.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_6.mlp.0 + encoder.layers.encoder_layer_6.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_7.mlp.0 + encoder.layers.encoder_layer_7.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_8.mlp.0 + encoder.layers.encoder_layer_8.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_9.mlp.0 + encoder.layers.encoder_layer_9.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_10.mlp.0 + encoder.layers.encoder_layer_10.mlp.1
Linear + GELU,2362368 + 0,151296,605184,464781312,3631104,2513664.0,605184,,,0.8589255499153976,ok,"(1, 197, 768)","(1, 197, 3072)",1,encoder.layers.encoder_layer_11.mlp.0 + encoder.layers.encoder_layer_11.mlp.1
Conv2d,590592,150528,150528,115605504,903168,741120.0,150528,,,0.9872448979591836,ok,"(1, 3, 224, 224)","(1, 768, 14, 14)",1,conv_proj
Linear,769000,768,1000,768000,6000,769768.0,1000,,,128.4613333333333,ok,"(1, 768)","(1, 1000)",1,heads.head
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_0.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_0.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_1.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_1.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_2.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_2.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_3.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_3.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_4.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_4.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_5.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_5.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_6.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_6.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_7.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_7.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_8.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_8.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_9.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_9.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_10.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_10.ln_2
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_11.ln_1
LayerNorm,1536,151296,151296,151296,1182,152832.0,151296,,,257.29949238578683,ok,"(1, 197, 768)","(1, 197, 768)",1,encoder.layers.encoder_layer_11.ln_2
